"","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10"
"A1",0.086260273576052,0.086260273576052,0.086260273576052,-0.0317846841002082,-0.0467766217808689,-0.0658787082585067,-0.0960226161125485,-0.141917570078372,-0.229087616622833,-0.477254172499644
"A2",0.0724145809138916,0.0724145809138916,0.0724145809138916,-0.0456303767623686,-0.0606223144430293,-0.079724400920667,-0.109868308774709,-0.155763262740532,-0.242933309284994,NA
"A3",0.0618070418838329,0.0618070418838329,0.0618070418838329,-0.0562379157924273,-0.071229853473088,-0.0903319399507257,-0.120475847804768,-0.166370801770591,NA,NA
"A4",0.0522437984363842,0.0522437984363842,0.0522437984363842,-0.065801159239876,-0.0807930969205367,-0.0998951833981745,-0.130039091252216,NA,NA,NA
"A5",0.0429878746667692,0.0429878746667692,0.0429878746667692,-0.075057083009491,-0.0900490206901517,-0.109151107167789,NA,NA,NA,NA
"A6",0.032651766657953,0.032651766657953,0.032651766657953,-0.0853931910183072,-0.100385128698968,NA,NA,NA,NA,NA
"A7",0.0192863953789907,0.0192863953789907,0.0192863953789907,-0.0987585622972695,NA,NA,NA,NA,NA,NA
"A8",0.0207910882649553,0.0207910882649553,0.0207910882649553,NA,NA,NA,NA,NA,NA,NA
"A9",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"A10",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
